song,artist,album,date
perfume,Jonah Yano,perfume,2019.06.05
Birdsong,Rosie Lowe,YU,2019.06.05
PATTERNS,NASAYA,PATTERNS,2019.06.05
Wealthy Man,Bart,Today Tomorrow and The Next Day,2019.06.06
Head Over Heels,Japanese Breakfast,Head Over Heels,2019.06.07
Hey Ma,Bon Iver,Hey Ma,2019.06.07
Telepathetic,Slotface,Telepathetic,2019.06.07
Superbike,Jay Som,Superbike,2019.06.07
Catch Light,Bent Knee,Catch Light,2019.06.07
Stick N Poke,Palehound,Black Friday,2019.06.07
What If,Amber Mark,What If,2019.06.07
Orange Trees,MARINA,LOVE + FEAR,2019.06.07
Orange Trees Claptone Remix,MARINA,Orange Trees Claptone Remix,2019.06.07
Ill Relations,Joel Ross,KingMaker,2019.06.07
Keep Your Face On,Soft Streak,Keep Your Face On,2019.06.07
Worthy,Palehound,Black Friday,2019.06.07
Aerostat,Geotic,Traversa,2019.06.10
Go Slowly,Radiohead,In Rainbows,2019.06.11
Bullshit,Palehound,Black Friday,2019.06.12
Lens,Frank Ocean,Lens,2019.06.12
Maybe Youre the Reason,The Japanese House,Good At Falling,2019.06.14
Playwright,Trevor Powers,Mulberry Violence,2019.06.14
Sanctuary,Joji,Sanctuary,2019.06.15
Sedona,Sure Sure,Sedona,2019.06.15
