id,song,artist,album,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time signature,genres,release date,artist popularity,track popularity
0DiwteTBKNrcWW0w6RcS9c,Blackbird - Live,Brad Mehldau,10 Years Solo Live,2016.12.28,0.308,0.187,7,-19.462,1,0.038,0.982,0.926,0.702,0.0706,83.005,4,"['bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'vocal jazz']",10/16/15,48,27
7znDFQC7nsafvBmQPWCq61,No Surprises,Noordpool Orchestra,"Radiohead, A Jazz Symphony",2016.12.28,0.316,0.39,5,-9.814,1,0.034,0.918,0.693,0.238,0.0957,68.146,4,[],10/14/12,28,23
0jyXW8hxeIzX4QwznqVT0E,Maiden Voyage / Everything In Its Right Place,Robert Glasper,In My Element,2016.12.28,0.417,0.374,5,-17.408,0,0.0486,0.913,0.94,0.116,0.105,141.187,4,"['contemporary jazz', 'contemporary post-bop', 'indie jazz', 'jazz', 'jazz fusion', 'neo soul']",3/13/07,50,42
114hBlz8pLWfGrpVtD1XZw,Suite: Everything In It's Right Place - Pyramid Song,Noordpool Orchestra,"Radiohead, A Jazz Symphony",2016.12.28,0.533,0.423,1,-8.075,1,0.0274,0.698,0.901,0.0997,0.115,117.966,4,[],10/14/12,28,23
73ik3a517Lz2W7eLWejapJ,Exit Music - For A Film,Brad Mehldau,"Songs: The Art Of The Trio, Volume Three",2016.12.28,0.283,0.174,4,-21.064,0,0.0331,0.921,0.676,0.0582,0.117,154.72,4,"['bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'vocal jazz']",9/15/98,48,40
3r4CtYzpWR5J4eN2KWf6Lx,When God Put a Smile Upon Your Face,Mauro Gargano,Pop In Jazz (The Greatest Jazz Covers of Pop Hits),2016.12.28,0.381,0.408,8,-10.482,1,0.0601,0.613,1.11E-05,0.11,0.455,167.553,4,['italian jazz'],8/26/16,1,4
5ykzEwNbLhoXoEsND4MMe7,15 Step,Noordpool Orchestra,"Radiohead, A Jazz Symphony",2016.12.28,0.631,0.624,1,-8.976,1,0.0453,0.0903,0.832,0.0567,0.93,97.077,5,[],10/14/12,28,31
0nbAKsTcygTNGU5dxO6y8f,Hoppípolla,Sigur Rós,Takk,2016.12.30,0.306,0.688,11,-6.446,1,0.0325,0.0281,0.223,0.207,0.176,140.026,4,"['bow pop', 'chamber pop', 'compositional ambient', 'dream pop', 'ethereal wave', 'icelandic pop', 'icelandic rock', 'indie folk', 'melancholia', 'post rock']",2005,57,48
1u8gOdcWxHBR6etiLJMaWC,Lone Wolf and Cub,Thundercat,The Beyond / Where the Giants Roam,2016.12.30,0.281,0.509,2,-12.749,0,0.0393,0.702,0.887,0.128,0.273,195.954,5,"['hip hop', 'indie r&b']",6/22/15,59,34
2JtL0a3NHcGkFQ7kfDLKUT,Swing Lo Magellan,Dirty Projectors,Swing Lo Magellan,2016.12.30,0.738,0.366,5,-10.231,0,0.0324,0.825,2.69E-05,0.118,0.507,101.031,4,"['alternative rock', 'art pop', 'brooklyn indie', 'chamber pop', 'chillwave', 'dream pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie r&b', 'indie rock', 'indietronica', 'lo-fi', 'modern rock', 'neo-psychedelic', 'new rave', 'noise pop', 'shimmer pop', 'stomp and holler']",7/10/12,55,51
7xqeIdLJSf3bgmZ7vUvHrE,Idioteque,Radiohead,Kid A,2016.12.30,0.615,0.931,3,-7.8,1,0.24,0.0352,2.37E-05,0.0914,0.53,137.544,3,"['alternative rock', 'art rock', 'melancholia', 'modern rock', 'permanent wave', 'rock']",10/1/00,74,61
3pcCifdPTc2BbqmWpEhtUd,Burn the Witch,Radiohead,A Moon Shaped Pool,2016.12.30,0.541,0.847,11,-6.52,1,0.0297,0.303,0.271,0.109,0.62,148.937,4,"['alternative rock', 'art rock', 'melancholia', 'modern rock', 'permanent wave', 'rock']",5/8/16,74,60
1Cp8YsBzTdIHoFC8FXPVH5,1936,PHOX,PHOX,2016.12.30,0.649,0.654,9,-8.76,1,0.044,0.713,0.000163,0.0985,0.71,122.874,4,['chamber pop'],6/24/14,34,39
1ReBFnRG82cgGs41ChSKbn,Morphine,The Ninjas,Morphine,2016.12.30,0.519,0.646,6,-7.309,0,0.0359,0.117,4.30E-05,0.162,0.73,132.058,4,[],4/15/16,28,46
3ygiu2TdSgWd50UW6hCLNV,Savage Night at the Opera,Destroyer,Kaputt,2016.12.30,0.675,0.593,0,-8.11,1,0.0393,0.00243,0.175,0.0745,0.796,146.976,4,"['alternative dance', 'alternative rock', 'anti-folk', 'art pop', 'chamber pop', 'chamber psych', 'chillwave', 'dream pop', 'experimental rock', 'folk-pop', 'freak folk', 'garage psych', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'lo-fi', 'modern rock', 'neo-psychedelic', 'new weird america', 'noise pop', 'noise rock', 'preverb', 'slow core', 'stomp and holler', 'vancouver indie']",1/25/11,48,36
